Route,Airline,Plane,Stops
YOD?BNK,XJ,E190,0
YOD?GJM,WN,B736,0
YOD?MRF,TK,A310,0
YOD?IRI,DL,777,0
YOD?MCX,US,A343,0
YOD?YQF,CV,CRJ7,0
YOJ?YCQ,EZ,747,0
YOJ?BQB,YV,A330,0
YOJ?GRS?TLU?LLV,CA,B739,2
YOJ?BTS,5X,IL-62,0
YOJ?PMO,ER,A319,0
YOJ?KLZ,CX,747,0
YOJ?YUD,AI,A300,0
YOJ?ROO,SY,DC-8,0
YOJ?FAC,TZ,EMB,0
YOJ?YIP,CZ,MD11,0
YOJ?VAN,KL,B736,0
YOJ?MQN,MU,A319,0
YOJ?BQH?KLO,G4,A124,1
YOJ?IZO,2Q,MD83,0
YOJ?HDN,KZ,747,0
YOW?VBP,AM,B772,0
YOW?IRG,CK,M90,0
YOW?RDD,CX,757,0
YOW?MAJ,LH,777,0
YOW?DRI,BA,A320,0
YOW?RBE,bxr,PA-31,0
YOW?SZK,XJ,A318,0
YOW?UZU?VOG,MQ,DC-10,1
YPA?GOO,BF,PA-31,0
YPA?YQW,LX,MD-87,0
YPA?NAA,SE,C-99,0
YPA?SMO,YX,DH8,0
YPA?SMR,NH,B739,0
YPA?OLB,NW,A332,0
YPA?ITB,SK,B737,0
YPA?YHM,CM,B777,0
YPA?ADK,CX,A318,0
YPA?KBZ?VGT,KL,717,1
YPA?DIJ,CZ,A388,0
YPE?PKV,CV,E170,0
YPE?JAX,CK,B788,0
YPE?YSD,VX,A330,0
YPE?MFR,AA,MD-87,0
YPE?SOF,OO,B735,0
YPE?LBR,WO,DC-8,0
YPE?LXS,EY,727,0
YPE?MRQ,WS,B764,0
YPE?ENV?ASJ,4O,B789,1
YPE?MLB,AY,A333,0
YPE?LXN,NK,B764,0
YPG?LCC,KZ,757,0
YPG?STR,AC,B764,0
YPG?IKS,FL,MD90,0
YPG?SHR,WI,C-99,0
YPG?MRX,BF,B763,0
YPG?ERI,AS,727,0
YPG?IBR,MU,MD11,0
YPG?LDB?KXK?PSO,4O,MD11,2
YPG?LGS,AM,A318,0
YPG?BSB,AC,B733,0
YPG?SEN,MX,B712,0
YPG?IFO,A8,B734,0
YPG?VBP,BA,B736,0
YPL?OHE,QX,AN-124,0
YPL?QNJ,FI,SA-227,0
YPL?BDI,WO,MD11,0
YPL?NAU,VS,A319,0
YPL?YVM?EFD,BF,A380,1
YPL?KSQ,bxr,A340,0
YPL?KDC,AI,B752,0
YPL?KTA,FL,B777,0
YPL?GUW,UA,MD-87,0
YPL?TCS,EY,DC-9,0
YPL?CHO,US,DH8,0
YPL?PHD,WW,B734,0
YPL?QXH,5Y,B-99,0
YPN?BPX,AY,MD90,0
YPN?YGJ?GRB,FJ,787,1
YPN?RVV,WI,MD83,0
YPN?UIO,CI,C-99,0
YPN?JHG,TA,777,0
YPN?SXB,5Y,B744,0
YPN?MBE,AF,MD-87,0
YPN?PUJ,9S,CRJ7,0
YPN?AOU,EY,DC-9,0
YPN?SDX,NZ,IL-62,0
YPN?YTL,BF,737,0
YPQ?OTR?VNT,FI,C-99,1
YPQ?YUS,QK,PA-31,0
YPQ?HZP,5Y,A343,0
YPQ?BUO,WO,A332,0
YPQ?LWN,QX,MD-90,0
YPQ?CMD,VX,SA-227,0
YPQ?BAB,GL,B744,0
YPQ?SFZ,ER,SSR-100,0
YPQ?TVY,CV,727,0
YPQ?ENT,2Q,B764,0
YPQ?WMT?LSP,WI,CRJ9,1
YPQ?ENS,SQ,MD-88,0
YPQ?BBU,G4,DC-9,0
YPQ?KUO,NW,E170,0
YPR?PMH,AS,SA-227,0
YPR?ASD,US,B763,0
YPR?OAR,EV,B734,0
YPR?EEN,TZ,MD11,0
YPR?YYB,CK,787,0
YPR?PRU,VX,A321,0
YPR?YHZ?SLH?FRZ,AB,L1011,2
YPR?AWD,MQ,DC10,0
YPR?RUR,MQ,DC-8,0
YPY?DMM,KL,A330,0
YPY?RDO,SQ,IL-96,0
YPY?UIH,MU,MD-11,0
YPY?AVP,LP,MD83,0
YPY?NVT,XP,EMB,0
YPY?PPS,Y4,A332,0
YPY?IND,bxr,SA-227,0
YPY?ATJ?ASJ,Y4,B734,1
YQA?RBR,UA,DC-10,0
YQA?WKB,9S,B763,0
YQA?KKE,LX,B737,0
YQA?LIR,OO,E170,0
YQA?FFD,SK,AN-124,0
YQA?JAX,IB,MD-11,0
YQB?GPS,AS,EMB,0
YQB?CLW,QX,MD83,0
YQB?HYG,ER,DC-9,0
YQB?RCM?BUX,TZ,A346,1
YQB?BWA,CA,B752,0
YQB?SMK,OO,A321,0
YQB?CGR,NK,B736,0
YQB?KRS,CZ,A359,0
YQF?BOM,QK,B789,0
YQF?BCU,KE,CRJ9,0
YQF?ISJ,K4,717,0
YQF?SIU,Y4,A300,0
YQG?TBG,FI,MD90,0
YQG?DBN?MSR,UA,A124,1
YQG?OKK,9W,IL-62,0
YQG?COD,SE,B733,0
YQG?TOS,SQ,CRJ9,0
YQG?WKJ,SY,B735,0
YQG?SHJ,LX,B744,0
YQH?BAI,UA,B739,0
YQH?VOD,FX,IL-62,0
YQH?GML,GL,A380,0
YQH?JDG,G4,B712,0
YQH?IXE?TSL,KL,DC10,1
YQH?SSZ,SE,A346,0
YQH?GOT,VS,MD-88,0
YQH?TGD,QK,B773,0
YQH?BWI,TZ,SSR-100,0
YQH?YLH,EK,727,0
YQK?YKJ,BR,A330,0
YQK?YMN,MQ,MD-11,0
YQK?YPJ,AF,A310,0
YQK?YSF,9S,MD-80,0
YQK?NER?OTJ?SFC,CK,E190,2
YQK?SZA,KZ,A340,0
YQK?FBE,YV,A346,0
YQK?EUX,4O,727,0
YQL?IGA,XP,B737,0
YQL?MEU,RW,B733,0
YQL?YLH,OO,A332,0
YQL?NOU,OO,717,0
YQL?YYW,NW,CRJ9,0
YQL?APZ,MX,A300,0
YQL?EXT?MOI,CI,787,1
YQL?HOK,CK,A359,0
YQL?TOS,CZ,A333,0
YQL?WIN,CP,E175,0
YQL?CFU,JL,B772,0
YQL?MGT,PR,B739,0
YQL?CMK,F9,B762,0
YQL?AIA,DH,B764,0
YQL?KJA,VX,747,0
YQM?LGD,9S,B739,0
YQM?WWR?FUG,CK,717,1
YQM?BRI,SK,B752,0
YQM?PWY,DH,MD-80,0
YQM?GMB,VS,A330,0
YQQ?ISA,KE,AN-124,0
YQQ?XTO,UA,B763,0
YQQ?VTB,XP,B736,0
YQQ?BUO,LP,MD-90,0
YQQ?PVD,LX,B753,0
YQQ?TKK,DL,B738,0
YQQ?LRV?KUK,BA,A380,1
YQQ?KIJ,AB,A124,0
YQQ?AZR,CM,DC-10,0
YQQ?ZPH,BA,A359,0
YQQ?UCB,QK,A359,0
YQQ?ITP,AY,B738,0
YQR?URS,WW,A388,0
YQR?MBL,YV,MD-90,0
YQR?OMO,2Q,SA-227,0
YQT?WIR,SK,B742,0
YQT?YSG?MCY,EY,B739,1
YQT?TBZ,F9,A380,0
YQU?FEZ,CX,B736,0
YQU?KUK,QF,A320,0
YQU?JAU,WS,DC10,0
YQU?OZZ,AC,IL-62,0
YQU?KNR,US,B789,0
YQU?GMU,FX,M90,0
YQU?BAU,YX,B772,0
YQU?SBH,FI,IL-96,0
YQU?OPF?SRT?PKC,QX,EMB,2
YQU?VVC,EI,E170,0
YQU?ERS,DL,B773,0
YQU?CBF,FJ,A388,0
YQU?URA,G4,MD-11,0
YQU?TTU,FI,A346,0
YQV?WRO,NH,AN-124,0
YQV?WGP,XP,B753,0
YQV?HGL,4O,SSR-100,0
YQV?GVT,QF,764,0
YQV?MAD?HMR,AS,B788,1
YQV?TGK,WS,A343,0
YQV?DET,FJ,A359,0
YQV?KJH,BR,DC10,0
YQV?YSL,TA,727,0
YQV?YEN,4O,A380,0
YQV?KBN,FX,B-99,0
YQV?LEN,ER,B-99,0
YQV?AHN,SY,B772,0
YQW?DUC,CX,DH8,0
YQW?MRF?HUL,TK,A332,1
YQW?AUG,VX,B-99,0
YQW?ROI,ER,B772,0
YQW?BMI,RW,MD-11,0
YQW?YWS,NK,A343,0
YQW?HLH,NH,727,0
YQW?ZMH,EK,IL-62,0
YQX?UFA,BF,B773,0
YQX?LYR,FL,A340,0
YQX?DED,AC,SA-227,0
YQX?ABA?DNP,WW,757,1
YQX?KLC,5Y,DH8,0
YQX?NTY,CK,777,0
YQX?CMD,WO,MD-80,0
YQX?LKG,EI,A333,0
YQX?LTS,BR,MD83,0
YQX?YNS,OO,B735,0
YQY?SLE,DL,757,0
YQY?PPG,WI,E190,0
YQY?CBN,FX,E190,0
YQY?GWD?KRT,BF,MD90,1
YQY?KUA,WW,IL-96,0
YQY?HOQ,XE,MD-88,0
YQY?GNZ,QF,A346,0
YQY?UNT,9W,A310,0
YQZ?ZHY,QK,SSR-100,0
YQZ?APZ,CP,A300,0
YQZ?RIC,NW,MD-88,0
YQZ?QPW,BA,A346,0
YQZ?CMU,WS,A343,0
YQZ?FUG?GRB?SON,AI,B735,2
YQZ?ZIG,NW,B738,0
YQZ?EGI,SK,E190,0
YQZ?GJT,XE,MD83,0
YQZ?SKF,EY,EMB,0
YQZ?KET,bxr,A124,0
YQZ?KFG,AC,B744,0
YQZ?SDD,EI,B788,0
YQZ?SXL,FI,CRJ7,0
YRB?BRX,XJ,B744,0
YRB?YOL?URA,4O,B712,1
YRB?YQG,CX,PA-31,0
YRB?LSX,FX,764,0
YRI?ALG,BA,PA-31,0
YRI?AFZ,RW,A332,0
YRI?FAZ,US,B744,0
YRI?ATQ,FI,757,0
YRI?KZC,UA,SA-227,0
YRI?TME,BA,B712,0
YRI?LZY,FX,CRJ9,0
YRI?DCI?BEI,G4,B736,1
YRI?AYK,AS,A300,0
YRI?ARB,EY,A343,0
YRJ?CXH,NH,MD-11,0
YRJ?SID,SK,B739,0
YRJ?OGZ,QF,A330,0
YRJ?LKV,TK,M90,0
YRJ?YRG,B6,B744,0
YRJ?MMH,4O,A321,0
YRJ?NNG,US,A333,0
YRJ?SVD?PNY,AS,A343,1
YRJ?IKS,KE,727,0
YRJ?WJU,EY,MD11,0
YRJ?ACV,FL,B764,0
YRJ?OGZ,WS,A321,0
YRJ?SGD,Y4,767,0
YRM?GBK,AF,764,0
YRM?LZH,9S,A346,0
YRM?YLK,FX,A330,0
YRM?GED,CX,B773,0
YRM?YVV?PGK,9W,B773,1
YRM?ASV,AY,B734,0
YRM?ABB,KL,B734,0
YRM?UVA,CI,A333,0
YRM?YSP,VS,757,0
YRM?HKT,B6,717,0
YRT?GWO,EY,B738,0
YRT?FNI,AI,MD-90,0
YRT?MZT,AC,M90,0
YRT?JNB,XJ,IL-96,0
YRT?OGL?GUT?TKQ,XP,A332,2
YRT?JIK,YV,C-99,0
YRT?PBO,OO,757,0
YRT?CTN,4O,MD-88,0
YSB?EDO,IB,A321,0
YSB?MKK,LP,DC10,0
YSB?CAJ,AF,B733,0
YSB?BIL,YX,B763,0
YSB?MUW,SK,B736,0
YSB?MAF,XP,B764,0
YSB?MMH?PCL,DH,B712,1
YSC?AKD,AC,B772,0
YSC?VKG,G4,DC-9,0
YSC?MNI,SK,B773,0
YSC?AAK,CA,777,0
YSC?NTL,AB,A320,0
YSC?AIN,MU,MD-11,0
YSC?URC,EK,B789,0
YSC?VGD,NH,B733,0
YSJ?GPA,2Q,E175,0
YSJ?BYS?CAK,5Y,777,1
YSJ?CTD,CM,B763,0
YSJ?PUU,EI,AN-124,0
YSJ?RMA,AI,B763,0
YSJ?IAN,CX,B762,0
YSJ?ADM,bxr,A340,0
YSJ?GNA,MU,B753,0
YSJ?BNE,QK,B733,0
YSJ?MNS,HX,B735,0
YSJ?HNH,bxr,PA-31,0
YSJ?AOI?ECA,BBB,E170,1
YSM?CAF,BA,IL-96,0
YSM?DNK,CV,B736,0
YSM?YMO,CV,B753,0
YSM?HTI,RW,B753,0
YSM?CNR,NZ,A319,0
YSM?YXZ,A8,B744,0
YSR?JUH,XJ,B712,0
YSR?MZI,XJ,IL-62,0
YSR?YLY,EZ,B762,0
YSR?MDI?YKU,CV,A388,1
YSR?BFT,LH,B736,0
YSR?TBZ,CM,B763,0
YSR?PHX,US,MD83,0
YSU?ROS,FI,IL-62,0
YSU?MCZ,BBB,MD-90,0
YSU?KWB,NH,A310,0
YSU?PVG,Y4,DC-10,0
YSU?PAX,WI,B788,0
YSU?AOR,NK,777,0
YSU?DRN?PBP?PUU,AC,B788,2
YSU?TXK,MU,B788,0
YSU?LPX,KR,B777,0
YSU?CNP,EI,A359,0
YSU?NYE,OO,L1011,0
YSY?NOD,CA,A318,0
YSY?SZY,EY,787,0
YSY?MXS,5Y,A300,0
YSY?HOV,HX,B788,0
YSY?YQT,FJ,MD90,0
YSY?MBZ?ZAL,EV,M90,1
YSY?GST,5Y,764,0
YSY?ADQ,9S,B733,0
YSY?OAA,9S,B789,0
YSY?AMQ,QF,B712,0
YSY?VBY,EZ,717,0
YSY?WIK,FX,MD-80,0
YSY?YLW,SE,EMB,0
YSY?STP,WN,E190,0
YSY?FFD,CM,777,0
YTE?MAO?SXZ,JL,A359,1
YTE?SSE,A8,B742,0
YTE?HAW,XJ,CRJ9,0
YTE?SAD,WW,B739,0
YTE?PAZ,SK,MD-90,0
YTE?VIL,NW,B744,0
YTE?CVE,TK,A343,0
YTE?IQT,2Q,M90,0
YTE?FEN,AS,A319,0
YTE?YTS,B6,A359,0
YTE?ACR?SKO,BA,B772,1
YTE?IGS,OO,A332,0
YTE?ANK,QF,767,0
YTE?BYS,2Q,A346,0
YTH?GAQ,9S,A333,0
YTH?SIQ,GB,B772,0
YTH?AMZ,OO,B-99,0
YTH?KPO,TK,B733,0
YTH?XUZ,QF,B734,0
YTH?SBK,FI,E175,0
YTH?BUL?TQD,DL,E175,1
YTH?SIU,PR,727,0
YTR?DSA,NH,IL-96,0
YTR?CPE,YX,B763,0
YTR?AUH,FX,B737,0
YTR?MEG,MT,B789,0
YTR?VTB,B6,B773,0
YTS?OBS,CI,B763,0
YTS?LDH,GL,B788,0
YTS?SGD,VS,B772,0
YTS?LYH?TXG?ALS,NK,A346,2
YTS?MEG,AM,MD-90,0
YTS?SHR,CK,717,0
YTS?AGT,K4,B733,0
YTS?PHE,AC,B739,0
YTZ?QSZ,4O,747,0
YTZ?MOL,FX,A332,0
YTZ?MHQ,KR,A333,0
YTZ?CEF,YV,SSR-100,0
YTZ?YEN,CI,B753,0
YTZ?BSA?TTD,MQ,EMB,1
YTZ?TKK,5Y,A359,0
YUB?IRA,5Y,MD-88,0
YUB?TKS,OZ,CRJ9,0
YUB?LNO,AS,A332,0
YUB?DNL,WS,A332,0
YUB?BAR,KR,B742,0
YUB?MYR,MT,B748,0
YUB?THU,OZ,A310,0
YUB?MLM,MU,E170,0
YUB?UTP?GOH,VX,A333,1
YUB?REZ,QX,DC-10,0
YUB?AVX,NZ,B712,0
YUL?IXG,MX,787,0
YUL?KEP,JL,B773,0
YUL?EIE,NK,B773,0
YUL?MPM,AI,727,0
YUL?CID,BA,B739,0
YUL?CMB,NZ,B739,0
YUL?YXK,CK,MD-90,0
YUL?AWK?GOP,RW,A333,1
YUL?SDJ,WS,757,0
YUL?YNJ,DL,A318,0
YUL?TBB,F9,A340,0
YUL?GYU,AS,MD90,0
YUL?BDM,CV,B744,0
YUL?YZU,SQ,B748,0
YUT?BRO,CI,A380,0
YUT?DIY,DH,A330,0
YUT?NIS,US,B764,0
YUT?KLG?INQ,IB,A333,1
YUT?ZAH,UA,B733,0
YUT?DBO,WS,B753,0
YUT?RWL,5X,B-99,0
YUX?PPA,bxr,B773,0
YUX?CVO,9W,B-99,0
YUX?GWY,CK,757,0
YUX?UET,IB,B734,0
YUX?VNA,HX,IL-62,0
YUX?ORJ,CX,AN-124,0
YUX?CMF?GYE?RRK,9W,787,2
YUY?YKY,WS,A346,0
YUY?YJF,TK,IL-96,0
YUY?VVI,FI,IL-62,0
YUY?NXX,FL,B744,0
YUY?PBC,AM,B738,0
YUY?CTN,OZ,DH8,0
YVC?ORA,K4,A319,0
YVC?IFL,US,DC-8,0
YVC?BEB,CX,MD-90,0
YVC?PNY?HZL,OZ,B762,1
YVC?MVP,XE,B735,0
YVC?GID,QF,A321,0
YVC?LLW,9W,A320,0
YVC?WGA,OZ,A332,0
YVC?VTZ,SY,MD-11,0
YVC?MLX,VS,B-99,0
YVC?YYE,GL,A310,0
YVC?CPA,MX,A343,0
YVC?BKH,CK,CRJ7,0
YVC?MPA?IFO,XP,B735,1
YVC?MXN,AM,A343,0
YVG?TNC,ER,MD-11,0
YVG?VST,OO,757,0
YVG?AXM,JL,B752,0
YVG?SDN,CK,777,0
YVG?PGK,FL,IL-96,0
YVG?SBP,B6,L1011,0
YVG?CCY,G4,B748,0
YVG?OTZ,KZ,L1011,0
YVG?MUC?PDS,A8,A319,1
YVG?AMT,WN,DC-9,0
YVG?EIL,DH,A321,0
YVM?YRJ,AY,DC-9,0
YVM?WSR,SY,MD-80,0
YVM?ANN,5X,B734,0
YVM?KAW,CA,767,0
YVM?WNN,CX,A321,0
YVM?NHT,JL,B744,0
YVM?GGT,A8,A318,0
YVM?PIT?RAK,NW,MD11,1
YVM?DHN,BF,DC-8,0
YVO?GOQ,WN,727,0
YVO?BFW,AI,B773,0
YVO?CCR,FX,AN-124,0
YVO?RXS,CM,757,0
YVO?SGC,JL,A321,0
YVO?ELU,AY,B789,0
YVO?GHT,TA,MD-88,0
YVP?WRO,KL,DC-8,0
YVP?NYM?ONG?OUL,WI,A343,2
YVP?VAW,9S,B738,0
YVQ?YLE,EZ,B733,0
YVQ?ZGI,AC,B736,0
YVQ?ONX,FJ,IL-62,0
YVQ?FUE,EI,B744,0
YVQ?DLD,MT,757,0
YVQ?HII,SQ,B789,0
YVQ?GRM,AC,747,0
YVQ?KTN,DL,777,0
YVQ?BOW?TNM,Y4,B752,1
YVR?ERM,QK,A333,0
YVR?LXN,US,787,0
YVR?PLX,BBB,B777,0
YVR?BVI,SK,MD11,0
YVR?QYD,RW,DH8,0
YVR?YQM,CI,B738,0
YVR?ALI,BA,B773,0
YVR?UPB,RW,A318,0
YVR?PEQ,K4,IL-62,0
YVR?AFL?GRR,CA,A359,1
YVR?POF,LX,764,0
YVT?ZJI,QK,B752,0
YVT?KDA,FI,L1011,0
YVT?TFL,QF,B777,0
YVV?TIH,EV,E175,0
YVV?YLW,TA,B753,0
YVV?EUF,QF,B777,0
YVV?ESG,MX,717,0
YVV?SCO,MT,747,0
YVV?OAR?PPK,NK,DH8,1
YVV?LDV,YX,B752,0
YVV?INT,KR,C-99,0
YVV?MST,5X,MD-90,0
YVV?INK,SK,B742,0
YVV?MIE,XJ,MD11,0
YVV?YAX,NK,MD-87,0
YWA?CCY,CA,B-99,0
YWA?PKT,MU,A380,0
YWA?TRA,AI,CRJ9,0
YWA?YFC?GBB,KL,E175,1
YWA?SXQ,ER,B735,0
YWA?QFG,LP,B789,0
YWA?LWY,WW,B734,0
YWA?STN,BR,757,0
YWG?NQX,CA,MD-88,0
YWG?GUJ,FL,MD-80,0
YWG?BKD,QX,A340,0
YWG?WAQ,NK,M90,0
YWG?DGL,AF,DH8,0
YWG?RDC?YXH?YPJ,B6,787,2
YWG?ASV,A8,A320,0
YWG?YQV,PR,B788,0
YWG?MGA,MT,717,0
YWG?MKP,5Y,B773,0
YWG?GUS,MQ,PA-31,0
YWG?LCX,AY,B734,0
YWK?YKU,AM,B733,0
YWK?RBL,VS,A300,0
YWK?BGX,SE,M90,0
YWK?AFA?YXJ,FI,DC-9,1
YWK?YWH,AA,767,0
YWK?TXL,EZ,B764,0
YWK?GDW,BBB,A124,0
YWK?GBT,QF,A319,0
YWK?MSY,Y4,B738,0
YWK?JFK,CX,A310,0
YWK?DGE,AB,MD11,0
YWL?DCU,MX,MD-80,0
YWL?BEN,G4,DC-8,0
YWL?GDC?SMS,JL,B737,1
YWL?HMV,DL,B763,0
YWL?ACZ,TZ,MD-87,0
YWL?SIK,B6,E190,0
YWL?VNS,OO,A340,0
YWL?FTY,GL,A319,0
YWL?TNI,KE,A320,0
YWL?MZW,G4,MD-90,0
YWL?OCA,K4,B734,0
YWL?DKI,bxr,A300,0
YWL?LMT?EZE,DL,B762,1
YWL?YBI,GB,B762,0
YWL?MUK,bxr,A320,0
YWY?OAZ,LX,B763,0
YWY?NME,WN,MD90,0
YWY?HDD,G4,B788,0
YWY?XVS,VS,B-99,0
YXC?KTU,YV,DH8,0
YXC?MIM,GL,MD11,0
YXC?TVI,DL,E190,0
YXD?SLN?ALG,EY,MD-87,1
YXD?HBX,BBB,B742,0
YXD?NAP,EI,MD-11,0
YXD?GID,CZ,A320,0
YXD?HSM,CZ,MD-88,0
YXE?YJN,AY,B734,0
YXE?EUN,EV,B736,0
YXE?NLA,QF,A333,0
YXE?STR,YV,A333,0
YXE?RBE,XE,B734,0
YXE?MJD?AUC?BWH,QX,A332,2
YXE?HEL,CK,747,0
YXE?SHJ,4O,SA-227,0
YXE?LYG,NW,A343,0
YXE?JSU,XE,MD-11,0
YXH?PRY,KL,B735,0
YXH?KPC,AA,SA-227,0
YXH?GUQ,EY,777,0
YXH?KDT,XJ,737,0
YXH?NAA,SY,B738,0
YXH?CYF?TVY,MQ,717,1
YXH?PLM,FL,747,0
YXH?TMG,KL,767,0
YXJ?NER,BA,A380,0
YXJ?PAL,TZ,B753,0
YXJ?HOU,NK,A340,0
YXJ?AAR,EI,C-99,0
YXJ?LUM,WW,DH8,0
YXJ?VER,AY,727,0
YXJ?WGN,HA,A310,0
YXJ?UAM?PGF,TK,B737,1
YXJ?IXW,IB,764,0
YXJ?DLD,CZ,B734,0
YXJ?EZS,GL,B773,0
YXJ?QND,KZ,B772,0
YXJ?QNJ,QX,B744,0
YXJ?PLX,2Q,B748,0
YXL?BGL,A8,A359,0
YXL?MDC,WW,A380,0
YXL?HLN,FI,DH8,0
YXL?BMM?HFA,KE,747,1
YXL?CYI,KE,737,0
YXL?FSI,OZ,A319,0
YXL?UNN,CZ,B753,0
YXL?KEW,QF,B748,0
YXL?ACV,EY,DC-8,0
YXL?TOB,4O,E170,0
YXP?GFY,SE,B772,0
YXP?SSY,EV,DC-10,0
YXP?BAG,NZ,A388,0
YXP?WAI?UAK,AC,B712,1
YXP?VLY,TZ,MD83,0
YXP?XRY,EI,DH8,0
YXP?LUG,MQ,MD83,0
YXP?SJJ,HA,B738,0
YXR?SEA,TK,MD-88,0
YXR?SNR,bxr,A346,0
YXR?AAZ,TZ,727,0
YXS?BUL,VX,B734,0
YXS?UPN,5X,B742,0
YXS?ZEC?YBY?HJR,2Q,MD11,2
YXT?ESU,EZ,B-99,0
YXT?ENA,BF,E175,0
YXT?FRA,5X,B752,0
YXT?JRO,QX,A333,0
YXT?SCS,IB,717,0
YXT?ZCL,CZ,DC10,0
YXT?ADY,CX,747,0
YXT?CTG,KR,B777,0
YXU?WOT,FI,EMB,0
YXU?DAN?CKY,5Y,DC-8,1
YXU?MQP,MT,B-99,0
YXU?GPS,MU,MD11,0
YXU?RWF,AM,B-99,0
YXU?BLB,FJ,727,0
YXU?FKI,NH,A340,0
YXU?YXD,SK,IL-62,0
YXU?JCR,2Q,B752,0
YXU?SZG,EZ,A318,0
YXU?HMO,AY,MD90,0
YXU?SNZ?TYR,FX,MD90,1
YXU?KGA,QK,IL-96,0
YXU?YZR,MT,B744,0
YXU?IOR,BBB,B739,0
YXX?ARR,OO,B772,0
YXX?TII,MX,A359,0
YXX?PIT,VS,A359,0
YXX?ALW,FX,A320,0
YXY?OCC,QK,A319,0
YXY?CFB,WW,MD-90,0
YXY?ENC?KSC,AC,EMB,1
YXY?CDS,CZ,AN-124,0
YXY?MCC,FJ,A388,0
YXY?AXD,IB,DC10,0
YXY?BHW,XE,A124,0
YYB?ZZV,WW,DH8,0
YYB?YGL,AS,B-99,0
YYB?UPL,CM,717,0
YYB?KET,CK,B736,0
YYB?SWH,HA,767,0
YYB?TEE?KSE,CA,EMB,1
YYB?ROW,CV,B739,0
YYB?CKS,KR,B-99,0
YYC?BHS,WN,E170,0
YYC?UKX,VX,C-99,0
YYC?KIM,CX,777,0
YYC?EOH,A8,B772,0
YYC?CWI,ER,A300,0
YYC?GPZ,bxr,DC-8,0
YYC?OHE,CX,B789,0
YYC?ASU?GLU?VME,BF,717,2
YYC?SCS,AS,B742,0
YYC?NNL,CZ,A340,0
YYC?AGJ,KL,DC10,0
YYC?NIG,XE,A340,0
YYC?BHQ,US,727,0
YYC?FNC,KZ,764,0
YYD?SCN,YV,B773,0
YYD?MQF,4O,B763,0
YYD?ZIA,AI,MD90,0
YYD?AGV?BHI,AM,767,1
YYD?SYP,WW,DC-10,0
YYD?QFO,BA,A380,0
YYE?OUL,G4,737,0
YYE?KSE,OO,A124,0
YYE?YSH,US,C-99,0
YYE?AWZ,F9,MD83,0
YYE?GUU,B6,SSR-100,0
YYE?ALH,EI,B764,0
YYE?VPZ,TK,A300,0
YYE?MKC?RDG,SK,L1011,1
YYF?KWT,TA,B735,0
YYF?YIK,EI,B789,0
YYF?BEM,EZ,EMB,0
YYF?BRT,LX,E170,0
YYF?BAT,YV,B773,0
YYF?TTT,NH,B744,0
YYF?BHP,VS,DH8,0
YYG?TVA,FL,764,0
YYG?PLW,SY,EMB,0
YYG?HRK?OLC,WW,MD-11,1
YYG?MZJ,BF,B733,0
YYG?TOM,CV,A332,0
YYG?BJZ,DL,CRJ9,0
YYG?SJY,QX,DC10,0
YYG?AZD,EZ,B772,0
YYG?OBN,AB,B735,0
YYG?KPC,CZ,A321,0
YYG?LEN,UA,B772,0
YYG?ODS,KZ,MD90,0
YYG?TLX?TXL,5X,A330,1
YYG?YXQ,TA,A318,0
YYG?MTL,4O,A310,0
YYH?LEK,AI,CRJ7,0
YYH?HCW,KE,E175,0
YYH?MLG,HA,IL-62,0
YYJ?PEU,DH,B712,0
YYJ?LKH,VS,764,0
YYJ?MDK,AB,DC10,0
YYJ?FRC,FJ,B712,0
YYJ?ZSA?TYL?GMV,MQ,B742,2
YYJ?NHD,EY,MD90,0
YYJ?GBG,IB,767,0
YYJ?PRQ,AY,A124,0
YYJ?SYJ,RW,E170,0
YYJ?BSK,LH,SSR-100,0
YYJ?ROP,G4,A332,0
YYJ?FSI,XJ,A343,0
YYJ?GUT,NH,MD-90,0
YYL?UNI,MX,C-99,0
YYL?YXU?EWN,YX,MD-87,1
YYL?TAE,IB,A320,0
YYL?ATY,KZ,E170,0
YYL?SZV,EI,DH8,0
YYL?TPH,CA,AN-124,0
YYL?MKW,EY,SA-227,0
YYL?CQA,IB,B762,0
YYL?LLB,WS,MD-80,0
YYL?UKG,WS,C-99,0
YYL?PNT,CX,DC10,0
YYL?OAM?IGL,KR,A320,1
YYL?SKB,CZ,B712,0
YYL?BTJ,BA,A380,0
YYL?ORF,FL,727,0
YYN?MZQ,4O,E170,0
YYN?HDM,TK,A318,0
YYN?MPK,MT,777,0
YYN?TLJ,2Q,DH8,0
YYN?FLA,5Y,MD-80,0
YYN?TIZ,WO,B744,0
YYN?YRS?BZA,GB,B752,1
YYN?ITM,XE,B748,0
YYN?BID,K4,DH8,0
YYQ?RDB,LH,PA-31,0
YYQ?CDT,CP,A340,0
YYQ?KFG,EV,B777,0
YYQ?BJW,GB,B733,0
YYQ?OZH,EY,B736,0
YYQ?FFA,AB,A319,0
YYR?BOI,OO,747,0
YYR?KOK?CGB,WS,A310,1
YYR?REG,WI,B748,0
YYR?HMO,OZ,A320,0
YYR?SCY,DH,B733,0
YYT?SFH,CK,A333,0
YYT?OTM,FJ,727,0
YYT?GLW,CX,A333,0
YYT?POW,FX,E170,0
YYT?OKU,PR,DC-8,0
YYT?HEX,4O,A340,0
YYT?GGG?DTA?MZP,F9,SSR-100,2
