Departure,Arrival,Airline,Plane,Departure_Date,Arrival_Date,Number,IATA
AFS,CSZ,FI,EMB,2025-04-07T17:33:09,2025-04-08T11:06:18,5363,FI5363
AFS,YNS,bxr,A319,2025-04-01T10:10:41,2025-04-01T20:21:22,1637,bxr1637
AFS,GZW,TA,747,2025-04-06T01:32:54,2025-04-06T03:05:48,2542,TA2542
AFS,YDB,TA,B735,2025-04-03T09:30:50,2025-04-03T19:01:40,6355,TA6355
AFS,DRW,AI,B789,2025-04-03T10:18:22,2025-04-03T20:36:44,7363,AI7363
AFS,GLW,EZ,747,2025-04-06T12:13:39,2025-04-07T00:27:18,9416,EZ9416
AFS,GOJ,BBB,717,2025-04-04T02:29:22,2025-04-04T04:58:44,3541,BBB3541
AFS,WBM,BR,B752,2025-04-02T10:52:40,2025-04-02T21:45:20,9966,BR9966
AFS,HDE,AA,737,2025-04-05T12:12:18,2025-04-06T00:24:36,7760,AA7760
AFS,OKR,QF,B733,2025-04-07T11:11:04,2025-04-07T22:22:08,9492,QF9492
HMI,OGD,KL,DH8,2025-04-03T11:43:47,2025-04-03T23:27:34,1577,KL1577
HMI,FBD,BA,B742,2025-04-03T02:20:47,2025-04-03T04:41:34,7374,BA7374
HMI,GII,Y4,E170,2025-04-02T11:33:08,2025-04-02T23:06:16,5950,Y45950
HMI,LEL,BF,SSR-100,2025-04-06T08:31:16,2025-04-06T17:02:32,1911,BF1911
HMI,MII,PR,A320,2025-04-03T18:07:31,2025-04-04T12:15:02,5574,PR5574
HMI,NIT,G4,SSR-100,2025-04-02T07:56:44,2025-04-02T15:53:28,8090,G48090
HMI,PEW,9W,MD-87,2025-04-06T02:27:05,2025-04-06T04:54:10,9314,9W9314
HMI,HXD,FI,MD90,2025-04-05T00:48:06,2025-04-05T01:36:12,1160,FI1160
HMI,PFJ,AS,MD-80,2025-04-07T07:45:42,2025-04-07T15:31:24,1307,AS1307
HMI,BKK,UA,B734,2025-04-06T03:45:52,2025-04-06T07:31:44,7230,UA7230
HMI,YKA,AA,CRJ7,2025-04-06T10:20:33,2025-04-06T20:41:06,8969,AA8969
HMI,APL,KR,737,2025-04-02T09:39:16,2025-04-02T19:18:32,4354,KR4354
TDD,QPD,BBB,DC-8,2025-04-02T05:14:50,2025-04-02T10:29:40,3326,BBB3326
TDD,CBU,CI,EMB,2025-04-04T12:02:21,2025-04-05T00:04:42,3517,CI3517
TDD,UDR,KR,MD-87,2025-04-07T17:42:42,2025-04-08T11:25:24,6142,KR6142
TDD,HOK,KR,B-99,2025-04-03T18:07:44,2025-04-04T12:15:28,9331,KR9331
TDD,YHE,AF,MD83,2025-04-06T10:15:46,2025-04-06T20:31:32,4041,AF4041
TDD,YWB,XE,B738,2025-04-03T09:40:48,2025-04-03T19:21:36,6597,XE6597
TDD,SKG,MX,B712,2025-04-06T12:22:57,2025-04-07T00:45:54,9750,MX9750
TDD,FTI,WN,B737,2025-04-04T12:37:23,2025-04-05T01:14:46,4483,WN4483
TDD,MMX,F9,A332,2025-04-07T12:05:47,2025-04-08T00:11:34,5748,F95748
TDD,GZW,MU,A310,2025-04-07T14:59:57,2025-04-08T05:59:54,8314,MU8314
TDD,OUZ,QX,PA-31,2025-04-02T08:02:12,2025-04-02T16:04:24,3996,QX3996
TDD,APT,AY,A320,2025-04-01T06:46:20,2025-04-01T13:32:40,3323,AY3323
TDD,QUY,MU,DC10,2025-04-02T11:01:08,2025-04-02T22:02:16,5029,MU5029
TDD,LAO,bxr,B789,2025-04-03T21:57:34,2025-04-04T19:55:08,3184,bxr3184
DLS,SPP,CV,A359,2025-04-05T16:53:30,2025-04-06T09:47:00,2284,CV2284
DLS,MCK,MU,DC-10,2025-04-07T02:00:58,2025-04-07T04:01:56,1550,MU1550
DLS,YNS,CZ,B762,2025-04-07T03:46:23,2025-04-07T07:32:46,2336,CZ2336
DLS,JTY,AF,747,2025-04-02T11:43:11,2025-04-02T23:26:22,1803,AF1803
DLS,BRL,OO,B789,2025-04-01T02:48:58,2025-04-01T05:37:56,3321,OO3321
DLS,AOG,NW,B733,2025-04-01T09:37:29,2025-04-01T19:14:58,4367,NW4367
DLS,ETM,XJ,A300,2025-04-07T12:50:22,2025-04-08T01:40:44,4193,XJ4193
DLS,IPL,CV,SSR-100,2025-04-07T01:42:15,2025-04-07T03:24:30,2548,CV2548
DLS,BAD,B6,767,2025-04-06T03:08:34,2025-04-06T06:17:08,7093,B67093
DLS,MJA,AM,DC-9,2025-04-06T19:20:19,2025-04-07T14:40:38,7803,AM7803
ILY,XCH,2Q,SSR-100,2025-04-02T14:00:55,2025-04-03T04:01:50,1072,2Q1072
ILY,VLC,9S,A319,2025-04-07T02:06:09,2025-04-07T04:12:18,1866,9S1866
ILY,INH,ER,PA-31,2025-04-02T11:00:14,2025-04-02T22:00:28,8168,ER8168
ILY,CRE,NZ,L1011,2025-04-05T06:42:25,2025-04-05T13:24:50,1708,NZ1708
ILY,SHD,XE,A124,2025-04-05T06:18:38,2025-04-05T12:37:16,7374,XE7374
ILY,TMS,LP,B-99,2025-04-05T07:06:50,2025-04-05T14:13:40,9354,LP9354
ILY,YBR,YV,MD-11,2025-04-07T06:38:11,2025-04-07T13:16:22,1848,YV1848
ILY,INH,RW,MD-80,2025-04-03T11:00:14,2025-04-03T22:00:28,5869,RW5869
ILY,UDR,KE,717,2025-04-03T08:08:25,2025-04-03T16:16:50,8530,KE8530
ILY,CDJ,WO,A124,2025-04-05T09:15:32,2025-04-05T18:31:04,2612,WO2612
ILY,YOG,OO,B742,2025-04-03T05:38:58,2025-04-03T11:17:56,4102,OO4102
ILY,HYC,SE,B742,2025-04-02T00:39:22,2025-04-02T01:18:44,6810,SE6810
ILY,UDR,5Y,B733,2025-04-02T08:08:25,2025-04-02T16:16:50,3253,5Y3253
CAP,BOX,GL,A300,2025-04-04T19:17:28,2025-04-05T14:34:56,5295,GL5295
CAP,EPA,GL,MD-11,2025-04-02T07:03:28,2025-04-02T14:06:56,9323,GL9323
CAP,CBR,CK,A330,2025-04-03T17:45:03,2025-04-04T11:30:06,9625,CK9625
CAP,PAT,XP,E170,2025-04-03T16:22:27,2025-04-04T08:44:54,4536,XP4536
CAP,OGN,JL,A318,2025-04-02T16:51:20,2025-04-03T09:42:40,9473,JL9473
CAP,TKG,OO,B734,2025-04-03T20:53:05,2025-04-04T17:46:10,7831,OO7831
CAP,ANQ,AF,A332,2025-04-07T03:05:37,2025-04-07T06:11:14,5234,AF5234
CAP,HLZ,AB,747,2025-04-02T15:05:25,2025-04-03T06:10:50,6269,AB6269
CAP,ARH,AA,747,2025-04-07T10:17:53,2025-04-07T20:35:46,7661,AA7661
CAP,HRG,TZ,E170,2025-04-04T11:55:35,2025-04-04T23:51:10,6996,TZ6996
CAP,VTN,NW,A359,2025-04-02T04:11:36,2025-04-02T08:23:12,4999,NW4999
CAP,HRG,TK,E190,2025-04-03T11:55:35,2025-04-03T23:51:10,8855,TK8855
CAP,TDG,AY,777,2025-04-04T18:26:48,2025-04-05T12:53:36,4495,AY4495
IQQ,LPM,QK,B772,2025-04-06T14:09:56,2025-04-07T04:19:52,3001,QK3001
IQQ,SAD,YV,DC-8,2025-04-01T08:15:25,2025-04-01T16:30:50,1151,YV1151
IQQ,ROP,MQ,MD-11,2025-04-06T18:24:21,2025-04-07T12:48:42,1827,MQ1827
IQQ,SHD,RW,727,2025-04-03T07:30:04,2025-04-03T15:00:08,3127,RW3127
IQQ,YSG,LH,A332,2025-04-01T11:14:10,2025-04-01T22:28:20,2962,LH2962
IQQ,YHE,AF,B742,2025-04-04T10:32:17,2025-04-04T21:04:34,6054,AF6054
IQQ,KCO,Y4,MD-11,2025-04-03T14:00:08,2025-04-04T04:00:16,1174,Y41174
IQQ,TDJ,BR,E170,2025-04-03T14:36:01,2025-04-04T05:12:02,4035,BR4035
IQQ,NDN,5X,M90,2025-04-03T16:43:41,2025-04-04T09:27:22,4376,5X4376
IQQ,NIT,AM,A380,2025-04-05T11:35:26,2025-04-05T23:10:52,4655,AM4655
IQQ,BZO,BA,B752,2025-04-07T12:31:42,2025-04-08T01:03:24,3847,BA3847
IQQ,KYP,AM,B736,2025-04-06T20:48:23,2025-04-07T17:36:46,3590,AM3590
PKE,LIL,US,B742,2025-04-06T18:50:55,2025-04-07T13:41:50,7000,US7000
PKE,PAT,EZ,DC-10,2025-04-06T10:36:37,2025-04-06T21:13:14,6828,EZ6828
PKE,WBM,LP,B-99,2025-04-02T03:30:38,2025-04-02T07:01:16,2270,LP2270
PKE,BAD,FX,A343,2025-04-01T16:16:20,2025-04-02T08:32:40,6923,FX6923
PKE,SAN,GB,E175,2025-04-05T13:58:26,2025-04-06T03:56:52,8736,GB8736
PKE,RBR,FJ,B744,2025-04-02T15:47:10,2025-04-03T07:34:20,3106,FJ3106
PKE,DLK,K4,L1011,2025-04-01T01:10:35,2025-04-01T02:21:10,9478,K49478
PKE,MKQ,AB,B752,2025-04-03T03:14:28,2025-04-03T06:28:56,5390,AB5390
PKE,LGL,HX,B739,2025-04-06T06:04:42,2025-04-06T12:09:24,7757,HX7757
PKE,HOK,WO,MD-80,2025-04-04T02:43:55,2025-04-04T05:27:50,8940,WO8940
PKE,APT,CA,A343,2025-04-03T17:10:36,2025-04-04T10:21:12,8740,CA8740
GMP,BQA,DH,DH8,2025-04-05T02:49:15,2025-04-05T05:38:30,3346,DH3346
GMP,BRL,EY,737,2025-04-02T11:55:06,2025-04-02T23:50:12,6175,EY6175
GMP,HOA,AF,B733,2025-04-04T11:10:04,2025-04-04T22:20:08,4040,AF4040
GMP,PLW,WS,767,2025-04-02T04:55:40,2025-04-02T09:51:20,3146,WS3146
GMP,CEM,TZ,A124,2025-04-02T07:02:01,2025-04-02T14:04:02,7161,TZ7161
GMP,MUH,HA,764,2025-04-07T09:52:56,2025-04-07T19:45:52,7672,HA7672
GMP,PVL,AC,A300,2025-04-06T12:39:13,2025-04-07T01:18:26,9063,AC9063
GMP,BUZ,AS,A318,2025-04-01T07:53:03,2025-04-01T15:46:06,3449,AS3449
GMP,HBR,WI,A300,2025-04-06T12:07:05,2025-04-07T00:14:10,1658,WI1658
GMP,FAA,AY,A320,2025-04-06T14:54:48,2025-04-07T05:49:36,7923,AY7923
GMP,DBB,XP,A330,2025-04-07T09:48:19,2025-04-07T19:36:38,5842,XP5842
GMP,NIT,US,B772,2025-04-04T10:34:30,2025-04-04T21:09:00,3754,US3754
PCD,OGD,VX,767,2025-04-07T01:57:59,2025-04-07T03:55:58,9751,VX9751
PCD,JMK,5X,MD83,2025-04-02T10:14:19,2025-04-02T20:28:38,2409,5X2409
PCD,BQA,PR,CRJ7,2025-04-06T14:24:46,2025-04-07T04:49:32,5370,PR5370
PCD,NKW,MQ,A320,2025-04-07T17:52:33,2025-04-08T11:45:06,1426,MQ1426
PCD,VPZ,TZ,B789,2025-04-02T00:25:58,2025-04-02T00:51:56,9776,TZ9776
PCD,JTY,9W,A332,2025-04-03T10:23:17,2025-04-03T20:46:34,1947,9W1947
PCD,CSM,BF,L1011,2025-04-03T01:15:02,2025-04-03T02:30:04,3476,BF3476
PCD,MLO,SE,B789,2025-04-02T10:14:59,2025-04-02T20:29:58,5467,SE5467
PCD,CVM,QX,MD-90,2025-04-02T02:34:26,2025-04-02T05:08:52,3993,QX3993
PCD,VTN,AB,MD-87,2025-04-01T00:52:17,2025-04-01T01:44:34,3143,AB3143
PCD,BRL,QF,A343,2025-04-05T00:16:57,2025-04-05T00:33:54,2927,QF2927
PCD,SGZ,BA,A340,2025-04-02T16:15:31,2025-04-03T08:31:02,2197,BA2197
PCD,BYU,DL,A124,2025-04-05T08:14:41,2025-04-05T16:29:22,2354,DL2354
PCD,MIJ,LX,A332,2025-04-05T11:30:11,2025-04-05T23:00:22,7102,LX7102
IPL,CSM,5Y,MD-80,2025-04-01T01:44:27,2025-04-01T03:28:54,3210,5Y3210
IPL,YAM,AF,B744,2025-04-07T03:26:50,2025-04-07T06:53:40,6255,AF6255
IPL,BLA,LH,764,2025-04-04T06:33:28,2025-04-04T13:06:56,5587,LH5587
IPL,LEL,WO,E190,2025-04-06T14:11:16,2025-04-07T04:22:32,1428,WO1428
IPL,SGZ,K4,B744,2025-04-02T16:04:34,2025-04-03T08:09:08,7974,K47974
IPL,RZS,bxr,A320,2025-04-05T15:10:09,2025-04-06T06:20:18,7781,bxr7781
IPL,KCO,XP,B734,2025-04-06T12:37:22,2025-04-07T01:14:44,1256,XP1256
IPL,UOX,BBB,727,2025-04-02T02:44:24,2025-04-02T05:28:48,8465,BBB8465
IPL,HIN,WW,L1011,2025-04-07T11:19:29,2025-04-07T22:38:58,1582,WW1582
IPL,ZMT,UA,MD11,2025-04-05T03:03:40,2025-04-05T06:07:20,5493,UA5493
IPL,YUY,2Q,E190,2025-04-06T03:58:32,2025-04-06T07:57:04,5144,2Q5144
IPL,MIJ,IB,B772,2025-04-02T09:07:12,2025-04-02T18:14:24,6717,IB6717
IPL,MNM,EI,A310,2025-04-06T03:07:49,2025-04-06T06:15:38,6208,EI6208
IPL,MMX,CK,B739,2025-04-01T10:17:45,2025-04-01T20:35:30,9881,CK9881
IPL,XCH,KR,B748,2025-04-07T17:11:07,2025-04-08T10:22:14,3823,KR3823
RAR,SKS,KE,MD-80,2025-04-01T18:19:21,2025-04-02T12:38:42,3281,KE3281
RAR,AVL,G4,B777,2025-04-02T11:40:41,2025-04-02T23:21:22,2837,G42837
RAR,XAP,NK,MD90,2025-04-06T11:56:59,2025-04-06T23:53:58,9474,NK9474
RAR,LAO,2Q,MD90,2025-04-03T11:02:17,2025-04-03T22:04:34,8166,2Q8166
RAR,KLN,US,A380,2025-04-06T09:58:05,2025-04-06T19:56:10,3877,US3877
RAR,XIC,MU,DC10,2025-04-06T13:27:37,2025-04-07T02:55:14,3512,MU3512
RAR,ARH,NW,A124,2025-04-04T16:59:53,2025-04-05T09:59:46,3142,NW3142
RAR,APT,QF,DC10,2025-04-02T11:22:26,2025-04-02T22:44:52,1478,QF1478
RAR,LYG,FL,B734,2025-04-02T12:01:12,2025-04-03T00:02:24,7682,FL7682
RAR,DND,CI,L1011,2025-04-04T17:47:26,2025-04-05T11:34:52,7943,CI7943
RAR,PVL,UA,E170,2025-04-04T11:47:12,2025-04-04T23:34:24,1244,UA1244
RAR,RVS,EY,B788,2025-04-03T10:30:10,2025-04-03T21:00:20,7066,EY7066
RAR,EMT,MQ,L1011,2025-04-07T08:36:12,2025-04-07T17:12:24,4016,MQ4016
MYC,CAP,QK,SA-227,2025-04-01T01:19:12,2025-04-01T02:38:24,8197,QK8197
MYC,CAP,CM,A310,2025-04-01T01:19:12,2025-04-01T02:38:24,6833,CM6833
MYC,ZMT,CP,737,2025-04-02T08:26:51,2025-04-02T16:53:42,9672,CP9672
MYC,GOV,QK,A388,2025-04-03T19:42:09,2025-04-04T15:24:18,7245,QK7245
MYC,LEI,SE,PA-31,2025-04-05T08:06:20,2025-04-05T16:12:40,8273,SE8273
MYC,LPC,MQ,757,2025-04-07T06:48:01,2025-04-07T13:36:02,3565,MQ3565
MYC,SFK,OZ,B734,2025-04-03T02:46:27,2025-04-03T05:32:54,5797,OZ5797
MYC,MAN,NZ,IL-96,2025-04-03T08:29:28,2025-04-03T16:58:56,7620,NZ7620
MYC,MSN,KR,DC-8,2025-04-03T04:47:28,2025-04-03T09:34:56,1491,KR1491
MYC,IPL,WS,DC-9,2025-04-07T06:14:41,2025-04-07T12:29:22,5891,WS5891
MYC,CSM,KZ,B-99,2025-04-04T04:48:49,2025-04-04T09:37:38,9262,KZ9262
CXR,XIC,CZ,B753,2025-04-01T02:11:05,2025-04-01T04:22:10,5924,CZ5924
CXR,SAD,DL,747,2025-04-01T15:23:30,2025-04-02T06:47:00,7467,DL7467
CXR,JGO,AY,B762,2025-04-01T12:21:49,2025-04-02T00:43:38,7419,AY7419
CXR,JMK,AB,A319,2025-04-05T09:50:44,2025-04-05T19:41:28,7925,AB7925
CXR,FTI,MT,SSR-100,2025-04-06T10:42:33,2025-04-06T21:25:06,2080,MT2080
CXR,FBD,FL,B736,2025-04-03T05:24:13,2025-04-03T10:48:26,4851,FL4851
CXR,PEW,US,E170,2025-04-03T05:08:44,2025-04-03T10:17:28,9709,US9709
CXR,BMU,B6,B712,2025-04-04T02:51:16,2025-04-04T05:42:32,8980,B68980
CXR,CEG,MQ,B742,2025-04-04T11:46:15,2025-04-04T23:32:30,4227,MQ4227
CXR,OKR,AB,A321,2025-04-04T05:05:49,2025-04-04T10:11:38,7602,AB7602
CXR,BAD,CZ,SA-227,2025-04-04T16:28:44,2025-04-05T08:57:28,9329,CZ9329
CXR,SHD,QK,764,2025-04-05T16:19:16,2025-04-06T08:38:32,6501,QK6501
CXR,YSG,FX,B753,2025-04-07T12:33:32,2025-04-08T01:07:04,1142,FX1142
CXR,GMP,SQ,A319,2025-04-02T03:47:30,2025-04-02T07:35:00,8484,SQ8484
BKK,HUU,GL,B789,2025-04-04T22:08:01,2025-04-05T20:16:02,2762,GL2762
BKK,PTZ,MU,A343,2025-04-05T21:11:55,2025-04-06T18:23:50,7327,MU7327
BKK,PHB,A8,SSR-100,2025-04-05T17:52:03,2025-04-06T11:44:06,4223,A84223
BKK,YWB,UA,B762,2025-04-06T13:12:19,2025-04-07T02:24:38,4789,UA4789
BKK,HBR,ER,747,2025-04-07T16:09:08,2025-04-08T08:18:16,6072,ER6072
BKK,AWA,SE,B789,2025-04-07T07:45:47,2025-04-07T15:31:34,1965,SE1965
BKK,HDG,SY,B736,2025-04-01T03:16:30,2025-04-01T06:33:00,1001,SY1001
BKK,UOX,BF,B748,2025-04-02T16:32:47,2025-04-03T09:05:34,1411,BF1411
BKK,MYC,2Q,AN-124,2025-04-04T19:23:19,2025-04-05T14:46:38,6006,2Q6006
BKK,CDJ,AB,B788,2025-04-02T18:58:19,2025-04-03T13:56:38,5474,AB5474
BKK,RVS,bxr,IL-96,2025-04-01T16:09:06,2025-04-02T08:18:12,5472,bxr5472
BKK,YKA,XE,757,2025-04-03T13:25:37,2025-04-04T02:51:14,6683,XE6683
HCJ,MCK,CI,B-99,2025-04-03T13:52:51,2025-04-04T03:45:42,5312,CI5312
HCJ,UVF,TZ,SSR-100,2025-04-03T17:40:40,2025-04-04T11:21:20,6517,TZ6517
HCJ,HXD,MQ,787,2025-04-07T01:55:15,2025-04-07T03:50:30,4867,MQ4867
HCJ,QGU,FI,MD-90,2025-04-04T03:26:29,2025-04-04T06:52:58,7818,FI7818
HCJ,YKA,FI,PA-31,2025-04-06T11:47:57,2025-04-06T23:35:54,1594,FI1594
HCJ,CVM,CV,EMB,2025-04-05T15:47:59,2025-04-06T07:35:58,7980,CV7980
HCJ,GGG,G4,PA-31,2025-04-06T15:01:46,2025-04-07T06:03:32,2479,G42479
HCJ,DWD,QF,B773,2025-04-06T07:13:51,2025-04-06T14:27:42,9527,QF9527
HCJ,DBB,SK,757,2025-04-04T08:41:53,2025-04-04T17:23:46,4519,SK4519
HCJ,BUZ,FX,MD90,2025-04-01T06:22:12,2025-04-01T12:44:24,8908,FX8908
HCJ,YKA,NH,DH8,2025-04-06T11:47:57,2025-04-06T23:35:54,4830,NH4830
HCJ,DBB,CK,A359,2025-04-01T08:41:53,2025-04-01T17:23:46,5101,CK5101
HCJ,NKW,GB,B737,2025-04-01T05:56:36,2025-04-01T11:53:12,8056,GB8056
TLD,WTZ,CX,B777,2025-04-03T14:17:17,2025-04-04T04:34:34,6627,CX6627
TLD,XAP,DL,CRJ7,2025-04-02T09:14:31,2025-04-02T18:29:02,9067,DL9067
TLD,HIN,AC,PA-31,2025-04-07T13:50:40,2025-04-08T03:41:20,7347,AC7347
TLD,CXI,AI,MD90,2025-04-05T20:04:13,2025-04-06T16:08:26,8124,AI8124
TLD,SUY,FL,E170,2025-04-07T13:45:06,2025-04-08T03:30:12,6831,FL6831
TLD,WSO,US,A300,2025-04-04T11:11:28,2025-04-04T22:22:56,5884,US5884
TLD,HUU,EI,C-99,2025-04-05T12:39:21,2025-04-06T01:18:42,6892,EI6892
TLD,NBO,MQ,E170,2025-04-01T02:48:21,2025-04-01T05:36:42,8695,MQ8695
TLD,BRL,MQ,727,2025-04-05T16:01:48,2025-04-06T08:03:36,4530,MQ4530
TLD,NKW,IB,C-99,2025-04-02T05:35:16,2025-04-02T11:10:32,9710,IB9710
TLD,SFS,JL,764,2025-04-02T12:12:05,2025-04-03T00:24:10,1765,JL1765
TLD,CFN,KE,757,2025-04-03T10:33:47,2025-04-03T21:07:34,8948,KE8948
TLD,YOG,QX,B763,2025-04-04T15:29:43,2025-04-05T06:59:26,8193,QX8193
TLD,DLS,EV,MD-87,2025-04-06T18:29:32,2025-04-07T12:59:04,6201,EV6201
MTN,KSN,EZ,757,2025-04-05T10:15:42,2025-04-05T20:31:24,5924,EZ5924
MTN,LUN,YX,MD-87,2025-04-07T14:01:49,2025-04-08T04:03:38,5955,YX5955
MTN,SNR,AA,717,2025-04-06T06:38:22,2025-04-06T13:16:44,2410,AA2410
MTN,NGB,OZ,777,2025-04-05T13:45:25,2025-04-06T03:30:50,3452,OZ3452
MTN,BJI,MU,B762,2025-04-02T01:58:55,2025-04-02T03:57:50,9879,MU9879
MTN,TEF,VS,737,2025-04-01T19:44:43,2025-04-02T15:29:26,4983,VS4983
MTN,SJE,SK,CRJ7,2025-04-05T04:39:48,2025-04-05T09:19:36,3681,SK3681
MTN,HUU,TZ,B712,2025-04-04T06:13:02,2025-04-04T12:26:04,5709,TZ5709
MTN,JVL,FI,A318,2025-04-05T01:16:23,2025-04-05T02:32:46,6324,FI6324
MTN,BUC,FX,B742,2025-04-04T17:57:42,2025-04-05T11:55:24,5255,FX5255
MTN,HDG,BR,DC-8,2025-04-01T13:04:38,2025-04-02T02:09:16,3760,BR3760
MTN,BAD,LX,M90,2025-04-03T01:57:36,2025-04-03T03:55:12,8747,LX8747
ERL,TDJ,GL,B752,2025-04-06T08:26:50,2025-04-06T16:53:40,6703,GL6703
ERL,SJE,LP,IL-62,2025-04-04T16:54:24,2025-04-05T09:48:48,3998,LP3998
ERL,ERL,GB,B739,2025-04-04T00:00:00,2025-04-04T00:00:00,4688,GB4688
ERL,VLC,Y4,MD-90,2025-04-02T09:45:07,2025-04-02T19:30:14,8377,Y48377
ERL,ABA,CM,EMB,2025-04-04T02:09:14,2025-04-04T04:18:28,1326,CM1326
ERL,VTB,NK,L1011,2025-04-05T06:29:52,2025-04-05T12:59:44,3312,NK3312
ERL,VTB,RW,764,2025-04-07T06:29:52,2025-04-07T12:59:44,7811,RW7811
ERL,SZT,SY,MD-87,2025-04-02T14:37:49,2025-04-03T05:15:38,8118,SY8118
ERL,YZX,YV,B752,2025-04-01T11:34:06,2025-04-01T23:08:12,2402,YV2402
ERL,PMO,NW,B752,2025-04-03T08:53:43,2025-04-03T17:47:26,2612,NW2612
ERL,MMX,CX,764,2025-04-03T07:32:40,2025-04-03T15:05:20,4902,CX4902
ERL,TJG,EY,A330,2025-04-06T05:46:45,2025-04-06T11:33:30,7783,EY7783
FNU,APL,MU,764,2025-04-05T07:49:42,2025-04-05T15:39:24,7548,MU7548
FNU,YUY,EV,A388,2025-04-01T07:34:32,2025-04-01T15:09:04,1989,EV1989
FNU,YSG,FX,717,2025-04-03T08:26:10,2025-04-03T16:52:20,8337,FX8337
FNU,OGN,9W,727,2025-04-04T11:31:56,2025-04-04T23:03:52,8405,9W8405
FNU,HYC,CV,A319,2025-04-03T01:41:44,2025-04-03T03:23:28,4341,CV4341
FNU,XAP,KE,MD-90,2025-04-05T11:06:57,2025-04-05T22:13:54,1914,KE1914
FNU,VTB,YV,B734,2025-04-06T02:38:59,2025-04-06T05:17:58,8533,YV8533
FNU,WBM,A8,E175,2025-04-04T16:04:45,2025-04-05T08:09:30,2074,A82074
FNU,LOO,SY,E190,2025-04-07T00:57:57,2025-04-07T01:55:54,4253,SY4253
FNU,WNZ,BR,B744,2025-04-03T11:03:13,2025-04-03T22:06:26,1689,BR1689
CSM,NOC,QK,B-99,2025-04-06T07:52:37,2025-04-06T15:45:14,8148,QK8148
CSM,WRY,PR,A318,2025-04-03T07:58:26,2025-04-03T15:56:52,9534,PR9534
CSM,PTP,KL,MD-88,2025-04-06T04:52:24,2025-04-06T09:44:48,6347,KL6347
CSM,APL,NW,E175,2025-04-03T17:24:28,2025-04-04T10:48:56,2274,NW2274
CSM,DLS,KE,777,2025-04-07T02:27:58,2025-04-07T04:55:56,8900,KE8900
CSM,WBM,XJ,CRJ9,2025-04-04T14:32:38,2025-04-05T05:05:16,3542,XJ3542
CSM,MYC,FI,B748,2025-04-06T04:48:49,2025-04-06T09:37:38,1143,FI1143
CSM,WTZ,VS,A318,2025-04-07T13:30:41,2025-04-08T03:01:22,8255,VS8255
CSM,TFF,TA,C-99,2025-04-01T06:22:15,2025-04-01T12:44:30,7184,TA7184
CSM,RKD,NW,B739,2025-04-05T03:06:20,2025-04-05T06:12:40,1877,NW1877
CSM,ANQ,bxr,B734,2025-04-01T01:36:15,2025-04-01T03:12:30,4040,bxr4040
CSM,HCJ,WW,A319,2025-04-07T14:29:30,2025-04-08T04:59:00,1065,WW1065
CSM,JMK,KL,B-99,2025-04-04T11:29:09,2025-04-04T22:58:18,1674,KL1674
CSM,LDX,TZ,A332,2025-04-06T06:27:31,2025-04-06T12:55:02,3342,TZ3342
JGN,BMU,DH,B762,2025-04-07T06:33:42,2025-04-07T13:07:24,7806,DH7806
JGN,YSG,CK,AN-124,2025-04-01T09:29:19,2025-04-01T18:58:38,3347,CK3347
JGN,AWA,5X,A333,2025-04-07T07:53:55,2025-04-07T15:47:50,4464,5X4464
JGN,KCO,AF,DC10,2025-04-02T06:24:12,2025-04-02T12:48:24,6545,AF6545
JGN,PHB,XP,AN-124,2025-04-02T16:12:59,2025-04-03T08:25:58,4153,XP4153
JGN,AUO,QF,A332,2025-04-04T13:34:34,2025-04-05T03:09:08,1747,QF1747
JGN,LAO,ER,B748,2025-04-06T03:39:17,2025-04-06T07:18:34,3984,ER3984
JGN,CSM,CP,737,2025-04-01T13:01:31,2025-04-02T02:03:02,4302,CP4302
JGN,WBW,WW,B736,2025-04-02T12:28:05,2025-04-03T00:56:10,4202,WW4202
JGN,RBR,JL,B738,2025-04-03T18:39:06,2025-04-04T13:18:12,3254,JL3254
JGN,PPC,GL,A332,2025-04-01T07:44:29,2025-04-01T15:28:58,8620,GL8620
JGN,FUL,QF,B742,2025-04-05T12:30:31,2025-04-06T01:01:02,2453,QF2453
JGN,ROP,KR,SSR-100,2025-04-05T06:06:03,2025-04-05T12:12:06,2951,KR2951
JGN,XIC,EY,B748,2025-04-03T01:33:08,2025-04-03T03:06:16,2483,EY2483
HDN,GOU,NH,A359,2025-04-04T13:24:04,2025-04-05T02:48:08,7361,NH7361
HDN,MUH,CP,SA-227,2025-04-06T12:13:26,2025-04-07T00:26:52,8035,CP8035
HDN,YNS,NW,B739,2025-04-07T03:02:17,2025-04-07T06:04:34,3495,NW3495
HDN,KYP,TA,B752,2025-04-06T14:47:27,2025-04-07T05:34:54,1508,TA1508
HDN,PVL,OZ,B788,2025-04-01T02:26:23,2025-04-01T04:52:46,6128,OZ6128
HDN,SZT,WO,E170,2025-04-05T03:24:30,2025-04-05T06:49:00,7236,WO7236
HDN,DWD,F9,E175,2025-04-02T13:52:30,2025-04-03T03:45:00,7555,F97555
HDN,TDJ,EY,PA-31,2025-04-05T15:16:23,2025-04-06T06:32:46,4381,EY4381
HDN,CAB,XE,A340,2025-04-01T14:37:49,2025-04-02T05:15:38,1158,XE1158
HDN,WBM,QX,E175,2025-04-01T13:38:43,2025-04-02T03:17:26,1733,QX1733
